,Bug ID,,Test,Opt Status,Debug Status,Owner,Assignee,Fission Target,Comments
,Core::Audio/Video: Playback,,,,,,,,
1579820,1579820,dom/websocket/tests/test_webSocket_sandbox.html,dom/websocket/tests/test_webSocket_sandbox.html,passes,passes,hsinyi/neha,kmag,M4,
,Core::DOM: Events,,,,,,,,
1586751,1586751,dom/events/test/test_bug812744.html,dom/events/test/test_bug812744.html,passes,skipped,hsinyi,smaug,M4,"bug 1586751
"
,Core::DOM: File,,,,,,,,
1581004,1581004,dom/file/tests/test_mozfiledataurl.html,dom/file/tests/test_mozfiledataurl.html,skipped,skipped,hsinyi,smaug,M4,bug 1580391
,Core::DOM: IndexedDB,,,,,,,,
1586189,1586189,dom/indexedDB/test/browser_forgetThisSite.js,dom/indexedDB/test/browser_forgetThisSite.js,skipped,skipped,jstutte,sg,M4,"This test suffers from a lost message sent cross-process via window.parent.postMessage, issue is not in indexedDB production code."
1586189,1586189,dom/indexedDB/test/browser_permissionsPromptAllow.js,dom/indexedDB/test/browser_permissionsPromptAllow.js,skipped,skipped,jstutte,sg,M4,"This test suffers from a lost message sent cross-process via window.parent.postMessage, issue is not in indexedDB production code."
1586189,1586189,dom/indexedDB/test/browser_permissionsPromptDeny.js,dom/indexedDB/test/browser_permissionsPromptDeny.js,skipped,skipped,jstutte,sg,M4,"This test suffers from a lost message sent cross-process via window.parent.postMessage, issue is not in indexedDB production code."
1586189,1586189,dom/indexedDB/test/browser_permissionsPromptWorker.js,dom/indexedDB/test/browser_permissionsPromptWorker.js,skipped,skipped,jstutte,sg,M4,"This test suffers from a lost message sent cross-process via window.parent.postMessage, issue is not in indexedDB production code."
1586189,1586189,dom/indexedDB/test/browser_perwindow_privateBrowsing.js,dom/indexedDB/test/browser_perwindow_privateBrowsing.js,skipped,skipped,jstutte,sg,M4,"This test suffers from a lost message sent cross-process via window.parent.postMessage, issue is not in indexedDB production code."
1586189,1586189,dom/indexedDB/test/test_third_party.html,dom/indexedDB/test/test_third_party.html,fails,fails,jstutte,sg,M4,I am investigating this with pernosco now. Bug 1562264 removed the debug skip-if.
,Core::DOM: Networking,,,,,,,,
,,dom/xhr/tests/browser_xhr_onchange_leak.js,dom/xhr/tests/browser_xhr_onchange_leak.js,skipped,skipped,nhi,mccr8,M4,
,Core::Networking: Cache,,,,,,,,
,,dom/tests/mochitest/ajax/offline/browser_disableAppcache.js,dom/tests/mochitest/ajax/offline/browser_disableAppcache.js,passes,passes,nhi,,M4,
,Core::DOM: Push Notifications,,,,,,,,
1575185,1575185,dom/push/test/test_permissions.html,dom/push/test/test_permissions.html,passes,passes,jstutte,pjiang,M4,Resolved; tracked by https://bugzilla.mozilla.org/show_bug.cgi?id=1575185
,,dom/push/test/test_serviceworker_lifetime.html,dom/push/test/test_serviceworker_lifetime.html,fails,fails,jstutte,pjiang,M4,Tracked by https://bugzilla.mozilla.org/show_bug.cgi?id=1578333
,,dom/push/test/test_subscription_change.html,dom/push/test/test_subscription_change.html,passes,passes,jstutte,,M4,"[mccr8] seems to pass locally, maybe can be re-enabled? Got unskipped in bug 1582531"
,Core::DOM: Quota Manager,,,,,,,,
1586190,1586190,dom/quota/test/browser_permissionsPromptAllow.js,dom/quota/test/browser_permissionsPromptAllow.js,skipped,skipped,jstutte,sg,M4,"This test suffers from a lost message sent cross-process via window.parent.postMessage, issue is not in quota production code."
1586190,1586190,dom/quota/test/browser_permissionsPromptDeny.js,dom/quota/test/browser_permissionsPromptDeny.js,skipped,skipped,jstutte,sg,M4,"This test suffers from a lost message sent cross-process via window.parent.postMessage, issue is not in quota production code."
1586190,1586190,dom/quota/test/browser_permissionsPromptUnknown.js,dom/quota/test/browser_permissionsPromptUnknown.js,skipped,skipped,jstutte,sg,M4,"This test suffers from a lost message sent cross-process via window.parent.postMessage, issue is not in quota production code."
,Core::DOM: SVG,,,,,,,,
1574137,1574137,layout/svg/tests/test_filter_crossorigin.html,layout/svg/tests/test_filter_crossorigin.html,passes,passes,svoisen,jwatt,M4,
,Core::DOM: Security,,,,,,,,
,,browser/components/contextualidentity/test/browser/browser_serviceworkers.js,browser/components/contextualidentity/test/browser/browser_serviceworkers.js,skipped,skipped,ckerschb,,M4,
,,browser/components/originattributes/test/browser/browser_blobURLIsolation.js,browser/components/originattributes/test/browser/browser_blobURLIsolation.js,fails,fails,ckerschb,timhuang,M4,
,,browser/components/originattributes/test/browser/browser_broadcastChannel.js,browser/components/originattributes/test/browser/browser_broadcastChannel.js,fails,fails,ckerschb,timhuang,M4,
,,browser/components/originattributes/test/browser/browser_cache.js,browser/components/originattributes/test/browser/browser_cache.js,fails,fails,ckerschb,timhuang,M4,
,,browser/components/originattributes/test/browser/browser_cacheAPI.js,browser/components/originattributes/test/browser/browser_cacheAPI.js,fails,fails,ckerschb,timhuang,M4,
,,browser/components/originattributes/test/browser/browser_cookieIsolation.js,browser/components/originattributes/test/browser/browser_cookieIsolation.js,fails,fails,ckerschb,timhuang,M4,
,,browser/components/originattributes/test/browser/browser_favicon_firstParty.js,browser/components/originattributes/test/browser/browser_favicon_firstParty.js,fails,fails,ckerschb,timhuang,M4,
,,browser/components/originattributes/test/browser/browser_favicon_userContextId.js,browser/components/originattributes/test/browser/browser_favicon_userContextId.js,fails,fails,ckerschb,timhuang,M4,
,,browser/components/originattributes/test/browser/browser_firstPartyIsolation.js,browser/components/originattributes/test/browser/browser_firstPartyIsolation.js,skipped,skipped,ckerschb,timhuang,M4,
,,browser/components/originattributes/test/browser/browser_firstPartyIsolation_aboutPages.js,browser/components/originattributes/test/browser/browser_firstPartyIsolation_aboutPages.js,fails,fails,ckerschb,timhuang,M4,
,,browser/components/originattributes/test/browser/browser_firstPartyIsolation_about_newtab.js,browser/components/originattributes/test/browser/browser_firstPartyIsolation_about_newtab.js,fails,fails,ckerschb,timhuang,M4,
,,browser/components/originattributes/test/browser/browser_firstPartyIsolation_blobURI.js,browser/components/originattributes/test/browser/browser_firstPartyIsolation_blobURI.js,skipped,skipped,ckerschb,timhuang,M4,"Crashes: @ mozilla::dom::BrowserBridgeParent::RecvShow(mozilla::gfx::IntSizeTyped<mozilla::ScreenPixel> const&, bool const&, nsSizeMode const&)"
,,browser/components/originattributes/test/browser/browser_firstPartyIsolation_js_uri.js,browser/components/originattributes/test/browser/browser_firstPartyIsolation_js_uri.js,skipped,skipped,ckerschb,timhuang,M4,
,,browser/components/originattributes/test/browser/browser_firstPartyIsolation_saveAs.js,browser/components/originattributes/test/browser/browser_firstPartyIsolation_saveAs.js,skipped,skipped,ckerschb,timhuang,M4,
,,browser/components/originattributes/test/browser/browser_httpauth.js,browser/components/originattributes/test/browser/browser_httpauth.js,skipped,skipped,ckerschb,timhuang,M4,
,,browser/components/originattributes/test/browser/browser_localStorageIsolation.js,browser/components/originattributes/test/browser/browser_localStorageIsolation.js,fails,fails,ckerschb,timhuang,M4,
,,browser/components/originattributes/test/browser/browser_permissions.js,browser/components/originattributes/test/browser/browser_permissions.js,fails,fails,ckerschb,timhuang,M4,
,,browser/components/originattributes/test/browser/browser_postMessage.js,browser/components/originattributes/test/browser/browser_postMessage.js,skipped,skipped,ckerschb,timhuang,M4,
,,browser/components/originattributes/test/browser/browser_sanitize.js,browser/components/originattributes/test/browser/browser_sanitize.js,fails,fails,ckerschb,timhuang,M4,
,,browser/components/originattributes/test/browser/browser_sharedworker.js,browser/components/originattributes/test/browser/browser_sharedworker.js,fails,fails,ckerschb,timhuang,M4,
,,browser/components/originattributes/test/browser/browser_windowOpenerRestriction.js,browser/components/originattributes/test/browser/browser_windowOpenerRestriction.js,fails,fails,ckerschb,timhuang,M4,
,,dom/security/test/csp/test_frameancestors.html,dom/security/test/csp/test_frameancestors.html,skipped,skipped,ckerschb,ckershb,M4,
,,dom/security/test/csp/test_frameancestors_userpass.html,dom/security/test/csp/test_frameancestors_userpass.html,skipped,skipped,ckerschb,ckershb,M4,
,,dom/security/test/csp/test_navigate_to.html,dom/security/test/csp/test_navigate_to.html,skipped,skipped,ckerschb,,M4,
